id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
1,,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Han,Dong,Don Valley North,Ontario,Independent,2021-09-20T00:00:00,1706735067961
1,,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20T00:00:00,1706735067961
1,,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2023-06-19T00:00:00,1706735067961
1,,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20T00:00:00,1706735067961
1,,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20T00:00:00,1706735067961
1,,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706735067961
1,,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706735067961
1,,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1706735067961
1,Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20T00:00:00,1706735067961
1,,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,2023-06-19T00:00:00,1706735067961
1,,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706735067961
1,,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706735067961
1,,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,,Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,2023-07-24T00:00:00,1706735067961
1,,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20T00:00:00,1706735067961
1,,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20T00:00:00,1706735067961
1,,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20T00:00:00,1706735067961
1,,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Greg,McLean,Calgary Centre,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2021-09-20T00:00:00,1706735067961
1,,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2021-09-20T00:00:00,1706735067961
1,,Eric,Melillo,Kenora,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Wilson,Miao,Richmond Centre,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2021-09-20T00:00:00,1706735067961
1,,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,,Mike,Morrice,Kitchener Centre,Ontario,Green Party,2021-09-20T00:00:00,1706735067961
1,,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706735067961
1,,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706735067961
1,,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Rick,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Alain,Rayes,Richmond—Arthabaska,Quebec,Independent,2021-09-20T00:00:00,1706735067961
1,,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20T00:00:00,1706735067961
1,,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
