honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20T00:00:00,1705429951863
,Han,Dong,Don Valley North,Ontario,Independent,2021-09-20T00:00:00,1705429951863
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20T00:00:00,1705429951863
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20T00:00:00,1705429951863
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20T00:00:00,1705429951863
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20T00:00:00,1705429951863
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20T00:00:00,1705429951863
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20T00:00:00,1705429951863
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20T00:00:00,1705429951863
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705429951863
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20T00:00:00,1705429951863
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2023-06-19T00:00:00,1705429951863
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705429951863
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20T00:00:00,1705429951863
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705429951863
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20T00:00:00,1705429951863
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20T00:00:00,1705429951863
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705429951863
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20T00:00:00,1705429951863
,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20T00:00:00,1705429951863
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20T00:00:00,1705429951863
,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20T00:00:00,1705429951863
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20T00:00:00,1705429951863
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20T00:00:00,1705429951863
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1705429951863
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1705429951863
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705429951863
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1705429951863
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1705429951863
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705429951863
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1705429951863
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1705429951863
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1705429951863
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20T00:00:00,1705429951863
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20T00:00:00,1705429951863
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20T00:00:00,1705429951863
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20T00:00:00,1705429951863
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20T00:00:00,1705429951863
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20T00:00:00,1705429951863
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20T00:00:00,1705429951863
