member_id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved,source
88633,Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/francois-philippe-champagne(88633)
104741,,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/martin-champoux(104741)
110225,,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/sophie-chatel(110225)
88953,,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/shaun-chen(88953)
110513,,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/paul-chiang(110513)
25488,Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/michael-d-chong(25488)
110438,,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/chad-collins(110438)
105908,,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/laurel-collins(105908)
89219,,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/michael-cooper(89219)
88350,,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/serge-cormier(88350)
110373,,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/michael-coteau(110373)
88994,,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/julie-dabrusin(88994)
35909,,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/marc-dalton(35909)
88884,,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/pam-damoff(88884)
105521,,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/raquel-dancho(105521)
102653,,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/scot-davidson(102653)
59325,,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/don-davies(59325)
35315,,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/claude-debellefeuille(35315)
88535,,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/gerard-deltell(88535)
49344,,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/chris-dentremont(49344)
104715,,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/caroline-desbiens(104715)
104922,,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/luc-desilets(104922)
110889,,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20T00:00:00,1706738730620,/members/en/blake-desjarlais(110889)
31098,,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/sukh-dhaliwal(31098)
88453,,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/anju-dhillon(88453)
109915,,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/lena-metlege-diab(109915)
89249,,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/todd-doherty(89249)
105091,,Han,Dong,Don Valley North,Ontario,Independent,2021-09-20T00:00:00,1706738730620,/members/en/han-dong(105091)
105410,,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/terry-dowdall(105410)
59226,,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/earl-dreeshen(59226)
88756,,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/francis-drouin(88756)
84660,,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/emmanuel-dubourg(84660)
89408,Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/jean-yves-duclos(89408)
31119,,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/terry-duguid(31119)
105422,,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/eric-duncan(105422)
58877,Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/kirsty-duncan(58877)
88721,,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/julie-dzerowicz(88721)
89010,,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/ali-ehsassi(89010)
88515,,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/faycal-el-khoury(88515)
109905,,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/stephen-ellis(109905)
105082,,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/dave-epp(105082)
88687,,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/nathaniel-erskine-smith(88687)
98749,,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/rosemarie-falk(98749)
84672,,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/ted-falk(84672)
35904,Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/ed-fast(35904)
88478,Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/greg-fergus(88478)
110604,,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/michelle-ferreri(110604)
88325,,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/andy-fillmore(88325)
20878,Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/kerry-lynne-d-findlay(20878)
88323,,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/darren-fisher(88323)
71692,,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/peter-fonseca(71692)
96356,Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/mona-fortier(96356)
88605,,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/rheal-eloi-fortin(88605)
88827,,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/peter-fragiskatos(88827)
88316,Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/sean-fraser(88316)
84665,Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/chrystia-freeland(84665)
1589,Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/hedy-fry(1589)
110534,,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/iqwinder-gaheer(110534)
115736,,Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2023-06-19T00:00:00,1706738730620,/members/en/anna-gainey(115736)
1809,,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/cheryl-gallant(1809)
110189,,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/jean-denis-garon(110189)
71995,,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/randall-garrison(71995)
104806,,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/marie-helene-gaudreau(104806)
87121,,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20T00:00:00,1706738730620,/members/en/leah-gazan(87121)
63908,,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/bernard-genereux(63908)
89226,,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/garnett-genuis(89226)
88802,,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/mark-gerretsen(88802)
88538,,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/marilene-gill(88538)
88938,,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/marilyn-gladu(88938)
89407,,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/joel-godin(89407)
110918,,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/laila-goodridge(110918)
88715,Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/karina-gould(88715)
35397,,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/jacques-gourde(35397)
