honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2023-06-19T00:00:00,1706044273757
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20T00:00:00,1706044273757
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20T00:00:00,1706044273757
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
