honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705509803911
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705509803911
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1705509803911
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1705509803911
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1705509803911
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20T00:00:00,1705509803911
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20T00:00:00,1705509803911
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20T00:00:00,1705509803911
,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20T00:00:00,1705509803911
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,2023-06-19T00:00:00,1705509803911
,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20T00:00:00,1705509803911
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20T00:00:00,1705509803911
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20T00:00:00,1705509803911
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20T00:00:00,1705509803911
,Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,2023-07-24T00:00:00,1705509803911
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20T00:00:00,1705509803911
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20T00:00:00,1705509803911
,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20T00:00:00,1705509803911
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20T00:00:00,1705509803911
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705509803911
